Date,Nest,Ind#,weight.grams,CT-W,PT-L,instar,Measurement,Treatment,notes
3 July 2018,Col_12,4,0.00892,1.57,3.66,Adult,before,Parasite,
3 July 2018,Col_12,5,0.01038,1.47,3.5,Adult,before,Parasite,
3 July 2018,Col_12,6,0.00609,1.26,2.54,Sub 2,before,Parasite,
3 July 2018,Col_12,7,0.00594,1.23,2.55,Sub 2,before,Parasite,
3 July 2018,Col_12,8,0.00412,1.33,2.57,Sub 2,before,Parasite,
3 July 2018,Col_12,9,0.005,1.33,2.65,Sub 2,before,Parasite,
3 July 2018,Col_12,10,0.00449,1.2,2.65,Sub 2,before,Parasite,
3 July 2018,Col_12,11,NA,0.92,1.73,Sub 1,before,Parasite,
3 July 2018,Col_12,12,NA,0.94,1.69,Sub 1,before,Parasite,
3 July 2018,Col_12,13,NA,0.94,1.76,Sub 1,before,Parasite,
3 July 2018,Col_12,14,NA,1,1.85,Sub 1,before,Parasite,
3 July 2018,Col_12,15,NA,1.04,1.73,Sub 1,before,Parasite,
4 July 2018,Col_13,1,0.01044,1.42,3.1,Adult,before,Control,
4 July 2018,Col_13,2,0.01648,1.67,3.81,Adult,before,Control,
4 July 2018,Col_13,3,0.00976,1.49,3.31,Adult,before,Control,
4 July 2018,Col_13,4,0.00663,1.41,3,Adult,before,Control,
4 July 2018,Col_13,5,0.0119,1.44,3.38,Adult,before,Control,
4 July 2018,Col_13,6,0.00511,1.25,2.79,Sub 2,before,Control,
4 July 2018,Col_13,7,0.00377,1.11,2.31,Sub 2,before,Control,
4 July 2018,Col_13,8,0.00609,1.17,2.01,Sub 2,before,Control,
4 July 2018,Col_13,9,0.00524,1.12,1.97,Sub 2,before,Control,
4 July 2018,Col_13,10,0.00587,1.3,2.67,Sub 2,before,Control,
4 July 2018,Col_13,11,NA,0.99,1.6,Sub 1,before,Control,
4 July 2018,Col_13,12,NA,0.96,1.62,Sub 1,before,Control,
4 July 2018,Col_13,13,NA,0.96,1.6,Sub 1,before,Control,
4 July 2018,Col_13,14,NA,0.83,1.28,Sub 1,before,Control,
4 July 2018,Col_13,15,NA,0.91,1.57,Sub 1,before,Control,
4 July 2018,Col_14,1,0.00885,1.42,3.13,Adult,before,Control,
4 July 2018,Col_14,2,0.00938,1.44,3.36,Adult,before,Control,
4 July 2018,Col_14,3,0.00675,1.38,3.12,Adult,before,Control,
4 July 2018,Col_14,4,0.00621,1.39,3.3,Adult,before,Control,
4 July 2018,Col_14,5,0.01056,1.51,3.29,Adult,before,Control,
4 July 2018,Col_14,6,0.00411,1.19,2.32,Sub 2,before,Control,
4 July 2018,Col_14,7,0.00305,1.1,2.17,Sub 2,before,Control,
4 July 2018,Col_14,8,0.00382,1.1,2.01,Sub 2,before,Control,
4 July 2018,Col_14,9,0.00343,1.15,2.04,Sub 2,before,Control,
4 July 2018,Col_14,10,0.00452,1.17,2.29,Sub 2,before,Control,
4 July 2018,Col_14,11,NA,0.95,1.45,Sub 1,before,Control,
